Epoche;Wert;time;Missing;Type;variable
0;51756695552;01:10;0;train_loss;cont
1;49818972160;01:12;0;train_loss;cont
2;46813839360;01:13;0;train_loss;cont
3;42887163904;01:11;0;train_loss;cont
4;38498070528;01:10;0;train_loss;cont
5;33945649152;01:13;0;train_loss;cont
6;29619761152;01:09;0;train_loss;cont
7;26097328128;01:28;0;train_loss;cont
8;22521489408;01:15;0;train_loss;cont
9;19708286976;01:12;0;train_loss;cont
10;17007127552;01:13;0;train_loss;cont
11;14567479296;01:12;0;train_loss;cont
12;13036634112;01:11;0;train_loss;cont
13;12124145664;01:12;0;train_loss;cont
14;12042053632;01:11;0;train_loss;cont
15;11167065088;01:11;0;train_loss;cont
16;11020004352;01:11;0;train_loss;cont
17;11083602944;01:11;0;train_loss;cont
18;10753843200;01:12;0;train_loss;cont
19;10501265408;01:12;0;train_loss;cont
20;10359378944;01:11;0;train_loss;cont
21;10452353024;01:12;0;train_loss;cont
22;10328210432;01:12;0;train_loss;cont
23;10520199168;01:11;0;train_loss;cont
24;10786775040;01:11;0;train_loss;cont
25;10496325632;01:11;0;train_loss;cont
26;9975962624;01:12;0;train_loss;cont
27;10204275712;01:12;0;train_loss;cont
28;10127581184;01:12;0;train_loss;cont
29;10307547136;01:12;0;train_loss;cont
30;9746405376;01:12;0;train_loss;cont
31;9945821184;01:11;0;train_loss;cont
32;10127633408;01:11;0;train_loss;cont
33;10166914048;01:12;0;train_loss;cont
34;9899871232;01:12;0;train_loss;cont
35;10016770048;01:13;0;train_loss;cont
36;9975803904;01:11;0;train_loss;cont
37;10009566208;01:11;0;train_loss;cont
38;9754006528;01:12;0;train_loss;cont
39;10023672832;01:11;0;train_loss;cont
40;9545938944;01:14;0;train_loss;cont
41;10134360064;01:15;0;train_loss;cont
42;9692026880;01:13;0;train_loss;cont
43;9672852480;01:18;0;train_loss;cont
44;9945003008;01:14;0;train_loss;cont
45;9479774208;01:15;0;train_loss;cont
46;10229876736;01:15;0;train_loss;cont
47;10293073920;01:15;0;train_loss;cont
48;9818705920;01:14;0;train_loss;cont
49;10037351424;01:14;0;train_loss;cont
50;9526690816;01:14;0;train_loss;cont
