Methode;Metric;Variablenname;Missing;Wert
rondom_forest_regression;DSC;AMT_INCOME_TOTAL;80;0,000
rondom_forest_regression;DSC;AMT_INCOME_TOTAL;50;0,000
rondom_forest_regression;DSC;AMT_INCOME_TOTAL;25;0,000
rondom_forest_regression;DSC;AMT_INCOME_TOTAL;10;0,000
rondom_forest_regression;DSC;AMT_INCOME_TOTAL;0;0,000
rondom_forest_classification;DSC;NAME_INCOME_TYPE;80;0,508
rondom_forest_classification;DSC;NAME_INCOME_TYPE;50;0,539
rondom_forest_classification;DSC;NAME_INCOME_TYPE;25;0,633
rondom_forest_classification;DSC;NAME_INCOME_TYPE;10;0,756
rondom_forest_classification;DSC;NAME_INCOME_TYPE;0;0,870
rondom_forest_classification;DSC;CODE_GENDER;80;0,511
rondom_forest_classification;DSC;CODE_GENDER;50;0,606
rondom_forest_classification;DSC;CODE_GENDER;25;0,728
rondom_forest_classification;DSC;CODE_GENDER;10;0,836
rondom_forest_classification;DSC;CODE_GENDER;0;0,928
rondom_forest_classification;DSC;AMT_INCOME_TOTAL;80;0,000
rondom_forest_classification;DSC;AMT_INCOME_TOTAL;50;0,000
rondom_forest_classification;DSC;AMT_INCOME_TOTAL;25;0,000
rondom_forest_classification;DSC;AMT_INCOME_TOTAL;10;0,000
rondom_forest_classification;DSC;AMT_INCOME_TOTAL;0;0,000
correlation_3;DSC;NAME_INCOME_TYPE;80;0,769
correlation_3;DSC;NAME_INCOME_TYPE;50;0,769
correlation_3;DSC;NAME_INCOME_TYPE;25;0,769
correlation_3;DSC;NAME_INCOME_TYPE;10;0,769
correlation_3;DSC;NAME_INCOME_TYPE;0;0,769
correlation_3;DSC;CODE_GENDER;80;0,682
correlation_3;DSC;CODE_GENDER;50;0,682
correlation_3;DSC;CODE_GENDER;25;0,682
correlation_3;DSC;CODE_GENDER;10;0,682
correlation_3;DSC;CODE_GENDER;0;0,682
correlation_3;DSC;AMT_INCOME_TOTAL;80;0,000
correlation_3;DSC;AMT_INCOME_TOTAL;50;0,000
